sampled_at_utc,local_date,local_time,weekday,slot,period,direction,home,duration_s,duration_min,static_duration_s,distance_m,delay_ratio,status,note
2026-09-01T21:00:30Z,2026-09-01,14:00,Tuesday,14:00,afternoon,office_to_home,home1,4249,70.8,3051,69148,1.393,ok,
2026-09-01T21:00:30Z,2026-09-01,14:00,Tuesday,14:00,afternoon,office_to_home,home2,2948,49.1,2892,72469,1.019,ok,
2026-09-01T21:15:19Z,2026-09-01,14:15,Tuesday,14:15,afternoon,office_to_home,home1,4399,73.3,3051,69148,1.442,ok,
2026-09-01T21:15:19Z,2026-09-01,14:15,Tuesday,14:15,afternoon,office_to_home,home2,2943,49.0,2892,72469,1.018,ok,
2026-09-01T21:30:25Z,2026-09-01,14:30,Tuesday,14:30,afternoon,office_to_home,home1,4552,75.9,3051,69148,1.492,ok,
2026-09-01T21:30:25Z,2026-09-01,14:30,Tuesday,14:30,afternoon,office_to_home,home2,2945,49.1,2892,72469,1.018,ok,
2026-09-01T21:45:19Z,2026-09-01,14:45,Tuesday,14:45,afternoon,office_to_home,home1,4727,78.8,3051,69148,1.549,ok,
2026-09-01T21:45:19Z,2026-09-01,14:45,Tuesday,14:45,afternoon,office_to_home,home2,3016,50.3,2892,72469,1.043,ok,
2026-09-01T22:00:28Z,2026-09-01,15:00,Tuesday,15:00,afternoon,office_to_home,home1,4885,81.4,3051,69148,1.601,ok,
2026-09-01T22:00:28Z,2026-09-01,15:00,Tuesday,15:00,afternoon,office_to_home,home2,3108,51.8,3062,72810,1.015,ok,
2026-09-01T22:15:19Z,2026-09-01,15:15,Tuesday,15:15,afternoon,office_to_home,home1,5242,87.4,3051,69148,1.718,ok,
2026-09-01T22:15:19Z,2026-09-01,15:15,Tuesday,15:15,afternoon,office_to_home,home2,3281,54.7,3062,72810,1.072,ok,
2026-09-01T22:30:26Z,2026-09-01,15:30,Tuesday,15:30,afternoon,office_to_home,home1,5369,89.5,3051,69148,1.760,ok,
2026-09-01T22:30:26Z,2026-09-01,15:30,Tuesday,15:30,afternoon,office_to_home,home2,3713,61.9,3062,72810,1.213,ok,
2026-09-01T22:45:14Z,2026-09-01,15:45,Tuesday,15:45,afternoon,office_to_home,home1,5721,95.3,3051,69148,1.875,ok,
2026-09-01T22:45:14Z,2026-09-01,15:45,Tuesday,15:45,afternoon,office_to_home,home2,3900,65.0,3063,72813,1.273,ok,
2026-09-01T23:00:31Z,2026-09-01,16:00,Tuesday,16:00,afternoon,office_to_home,home1,5821,97.0,3051,69148,1.908,ok,
2026-09-01T23:00:31Z,2026-09-01,16:00,Tuesday,16:00,afternoon,office_to_home,home2,4033,67.2,3062,72810,1.317,ok,
2026-09-01T23:15:15Z,2026-09-01,16:15,Tuesday,16:15,afternoon,office_to_home,home1,5795,96.6,3051,69148,1.899,ok,
2026-09-01T23:15:15Z,2026-09-01,16:15,Tuesday,16:15,afternoon,office_to_home,home2,4129,68.8,3063,72813,1.348,ok,
2026-09-01T23:30:25Z,2026-09-01,16:30,Tuesday,16:30,afternoon,office_to_home,home1,5721,95.3,3051,69148,1.875,ok,
2026-09-01T23:30:25Z,2026-09-01,16:30,Tuesday,16:30,afternoon,office_to_home,home2,4111,68.5,3063,72813,1.342,ok,
